id_venda,data_venda,cliente,email_cliente,produto,categoria,quantidade,preco_unitario,valor_total,regiao
405,2023-10-06,Luiz Gustavo Cavalcante,nu****y@example.com,Armário,MOVEIS,8.0,4412.33,35298.64,Centro-Oeste
1073,2023-11-19,Samuel Rocha,go****a@example.net,Webcam,ACESSORIOS,7.0,2827.15,19790.05,Leste
614,2023-11-29,Dra. Allana Caldeira,cj****s@example.net,Monitor,ACESSORIOS,6.0,1762.83,10576.98,Sul
1154,2023-08-29,Luiz Fernando Borges,al****o@example.org,Cadeira,MOVEIS,9.0,637.82,5740.38,Leste
1177,2023-09-01,Sr. Heitor Cirino,so****m@example.net,Teclado,ACESSORIOS,2.0,1495.96,2991.92,Sul
473,2023-01-25,Dra. Agatha Aparecida,da****b@example.com,Mouse,ACESSORIOS,7.0,2372.4,16606.8,Sul
252,2023-03-02,Raul Andrade,na****3@example.org,Teclado,ACESSORIOS,10.0,2986.55,29865.5,Norte
590,2023-04-09,Dra. Alexia da Rosa,,Webcam,ACESSORIOS,1.0,4732.04,4732.04,Norte
253,2023-01-09,Dr. Théo Gonçalves,cd****a@example.net,Fogão,ELETRODOMESTICOS,9.0,1051.52,9463.68,Leste
662,2023-05-20,Francisco Câmara,ma****2@example.net,Tablet,ELETRONICOS,1.0,4160.09,4160.09,Sul
461,2023-09-06,Bernardo Albuquerque,pe****0@example.com,Tablet,ELETRONICOS,4.0,2946.99,11787.96,Leste
970,2023-03-28,Srta. Rebeca Rezende,me****b@example.org,Armário,MOVEIS,2.0,1626.44,3252.88,Oeste
212,2023-03-17,Clara da Costa,ca****o@example.org,Smartphone,ELETRONICOS,6.0,1813.28,10879.68,Norte
862,2023-05-22,José Albuquerque,fm****o@example.net,Sofá,MOVEIS,6.0,497.17,2983.02,Centro-Oeste
932,2023-05-03,João Vitor Sousa,,Fogão,ELETRODOMESTICOS,6.0,587.2,3523.2,Centro-Oeste
613,2023-02-08,Aurora Monteiro,hd****s@example.com,Cadeira,MOVEIS,5.0,3293.99,16469.95,Norte
654,2023-08-31,Maria Luiza Lopes,ar****1@example.net,Micro-ondas,ELETRODOMESTICOS,8.0,1569.83,12558.64,Centro-Oeste
1062,2023-10-21,Gabrielly Pastor,le****s@example.com,Geladeira,ELETRODOMESTICOS,2.0,1561.07,3122.14,Centro-Oeste
878,2023-08-03,Ana Cavalcanti,bi****s@example.net,Máquina de Lavar,ELETRODOMESTICOS,4.0,851.3,3405.2,Centro-Oeste
696,2023-09-30,Marina Moreira,cf****s@example.net,Máquina de Lavar,ELETRODOMESTICOS,9.0,4273.2,38458.8,Leste
609,2023-06-04,Anthony Ramos,mi****o@example.com,Geladeira,ELETRODOMESTICOS,1.0,4386.13,4386.13,Sul
627,2023-05-07,Sophie da Rosa,pe****3@example.net,Sofá,MOVEIS,10.0,4264.77,42647.7,Norte
1191,2023-03-03,Gael Melo,lu****8@example.org,Tablet,ELETRONICOS,6.0,577.36,3464.16,Leste
48,2023-09-21,Yuri Cassiano,al****3@example.net,Smartphone,ELETRONICOS,3.0,1109.99,3329.97,Oeste
965,2023-03-05,Davi Miguel Andrade,be****a@example.net,Mouse,ACESSORIOS,8.0,879.33,7034.64,Leste
642,2023-06-05,Liam Moura,le****a@example.org,Micro-ondas,ELETRODOMESTICOS,3.0,3617.77,10853.31,Norte
1010,2023-11-01,Srta. Cecilia Farias,va****o@example.net,Micro-ondas,ELETRODOMESTICOS,2.0,3798.81,7597.62,Sul
487,2023-03-14,Dr. João Gabriel da Conceição,co****l@example.net,Webcam,ACESSORIOS,5.0,4157.97,20789.85,Sul
472,2023-07-05,José Miguel Vargas,ol****r@example.org,Webcam,ACESSORIOS,9.0,2602.25,23420.25,Norte
327,2023-03-31,Dr. Anthony da Luz,ra****1@example.com,Cadeira,MOVEIS,10.0,2593.87,25938.7,Oeste
969,2023-01-17,Stephany Marques,ra****a@example.org,Armário,MOVEIS,2.0,2899.23,5798.46,Centro-Oeste
822,2023-06-05,Melina Pinto,lu****a@example.org,Armário,MOVEIS,8.0,1144.56,9156.48,Leste
483,2023-12-25,Ana Liz Casa Grande,fr****3@example.net,Smartphone,ELETRONICOS,8.0,4521.88,36175.04,Oeste
362,2023-11-30,Maria Vitória da Rocha,ma****s@example.org,Tablet,ELETRONICOS,8.0,3259.61,26076.88,Centro-Oeste
421,2023-05-19,Leandro Camargo,ev****s@example.org,Tablet,ELETRONICOS,8.0,3289.75,26318.0,Centro-Oeste
787,2023-09-03,Srta. Allana Pinto,rh****1@example.net,Smartphone,ELETRONICOS,6.0,4773.12,28638.72,Leste
15,2023-06-17,Vitor Gabriel da Luz,zp****o@example.com,Smartphone,ELETRONICOS,2.0,2122.78,4245.56,Norte
373,2023-04-24,Srta. Letícia Rodrigues,re****o@example.org,Sofá,MOVEIS,1.0,4222.27,4222.27,Norte
350,2023-08-27,Srta. Mariane Novais,wa****o@example.net,Smartphone,ELETRONICOS,4.0,3947.2,15788.8,Sul
189,2023-10-20,Bryan Borges,vb****o@example.net,Tablet,ELETRONICOS,7.0,2905.83,20340.81,Leste
94,2023-02-02,Sr. Danilo Vasconcelos,an****a@example.net,Fone de Ouvido,ELETRONICOS,1.0,225.16,225.16,Oeste
81,2023-02-25,Anna Liz Carvalho,ra****s@example.net,Notebook,ELETRONICOS,10.0,808.64,8086.4,Sul
508,2023-12-15,Cecília Nunes,ma****a@example.com,Notebook,ELETRONICOS,3.0,2273.25,6819.75,Norte
57,2023-11-09,Dr. Josué da Mata,he****a@example.org,Fone de Ouvido,ELETRONICOS,9.0,4571.91,41147.19,Sul
433,2023-07-23,Sra. Mariane Cavalcante,no****a@example.org,Máquina de Lavar,ELETRODOMESTICOS,,3816.99,38169.9,Sul
543,2023-03-30,Carlos Eduardo Caldeira,vi****a@example.net,Webcam,ACESSORIOS,5.0,1598.42,7992.1,Norte
